nm0001367,C. Thomas Howell
nm0000929,Corbin Bernsen
nm0001136,Bruce Dern
nm0000151,Morgan Freeman
nm0000598,Dennis Quaid
nm0000518,John Malkovich
nm0202966,Keith David
nm0001757,Kevin Sorbo
nm0001426,Ben Kingsley
nm0249291,Joel Edgerton
